yearID,home_team,away_team,home_win,h_FG,a_FG,h_FGA,a_FGA,h_FG%,a_FG%,h_3P,a_3P,h_3PA,a_3PA,h_3P%,a_3P%,h_2P,a_2P,h_2PA,a_2PA,h_2P%,a_2P%,h_FT,a_FT,h_FTA,a_FTA,h_FT%,a_FT%,h_ORB,a_ORB,h_DRB,a_DRB,h_TRB,a_TRB,h_AST,a_AST,h_STL,a_STL,h_BLK,a_BLK,h_TOV,a_TOV,h_PF,a_PF
2000,Orlando Magic,Charlotte Hornets,0,38.6,35.8,85.5,79.7,0.452,0.449,3.6,4.1,10.6,12.2,0.33799999999999997,0.33899999999999997,35.1,31.7,74.9,67.5,0.46799999999999997,0.469,19.2,22.7,26.1,30.0,0.735,0.758,14.0,10.8,31.0,32.1,44.9,42.9,20.8,24.7,9.1,8.9,5.7,5.9,17.6,14.7,24.0,20.4
2000,Golden State Warriors,Dallas Mavericks,0,36.5,39.0,87.1,85.9,0.42,0.45299999999999996,4.2,6.3,13.0,16.2,0.32299999999999995,0.391,32.3,32.6,74.0,69.8,0.43700000000000006,0.46799999999999997,18.3,17.2,26.2,21.4,0.6970000000000001,0.804,15.9,11.4,29.7,29.8,45.6,41.2,22.6,22.1,8.9,7.2,4.3,5.1,15.9,13.7,24.9,21.6
2000,Phoenix Suns,Denver Nuggets,0,37.7,37.3,82.6,84.3,0.457,0.442,5.6,5.7,15.2,17.0,0.368,0.336,32.1,31.5,67.4,67.2,0.47700000000000004,0.469,17.9,18.7,23.6,25.8,0.759,0.7240000000000001,12.5,13.1,31.2,31.6,43.7,44.7,25.6,23.3,9.1,6.8,5.3,7.5,16.7,15.6,24.1,23.9
2000,Milwaukee Bucks,Houston Rockets,1,38.7,36.6,83.3,81.3,0.465,0.45,4.8,7.1,13.0,19.8,0.369,0.358,33.9,29.5,70.2,61.5,0.483,0.48,19.0,19.2,24.2,26.2,0.7859999999999999,0.733,12.4,12.3,28.9,31.5,41.3,43.8,22.6,21.6,8.2,7.5,4.6,5.3,15.0,17.4,24.6,20.3
2000,Seattle SuperSonics,Los Angeles Clippers,1,37.9,35.1,84.7,82.4,0.447,0.426,6.7,5.2,19.6,15.5,0.33899999999999997,0.33899999999999997,31.2,29.9,65.1,67.0,0.48,0.446,16.6,16.6,23.9,22.3,0.695,0.746,12.7,11.6,30.3,29.0,43.0,40.6,22.9,18.0,8.0,7.0,4.2,6.0,14.0,16.2,21.7,22.2
2000,Detroit Pistons,Miami Heat,0,37.1,36.3,80.9,78.8,0.45899999999999996,0.46,5.4,5.4,14.9,14.7,0.359,0.371,31.8,30.8,66.0,64.1,0.48100000000000004,0.48100000000000004,23.9,16.4,30.6,22.3,0.7809999999999999,0.736,11.2,11.2,30.0,31.9,41.2,43.2,20.8,23.5,8.1,7.1,3.3,6.4,15.7,15.0,24.5,23.7
2000,Indiana Pacers,New Jersey Nets,1,37.2,36.3,81.0,83.9,0.45899999999999996,0.433,7.1,5.8,18.1,16.8,0.392,0.34700000000000003,30.0,30.5,62.8,67.2,0.478,0.45399999999999996,19.9,19.5,24.5,24.9,0.8109999999999999,0.784,10.3,12.7,31.9,28.2,42.1,40.9,22.6,20.6,6.8,8.8,5.1,4.8,14.1,13.6,21.8,23.3
2000,Cleveland Cavaliers,New York Knicks,0,36.3,35.3,82.1,77.7,0.442,0.455,4.2,4.3,11.2,11.4,0.373,0.375,32.1,31.0,70.9,66.3,0.45299999999999996,0.46799999999999997,20.2,17.2,26.9,22.0,0.75,0.7809999999999999,12.3,9.8,30.5,30.7,42.8,40.5,23.7,19.4,8.7,6.3,4.4,4.3,17.4,14.6,27.1,24.2
2000,Philadelphia 76ers,San Antonio Spurs,0,36.5,36.0,82.6,78.0,0.442,0.462,2.5,4.0,7.8,10.8,0.32299999999999995,0.374,34.0,32.0,74.8,67.2,0.45399999999999996,0.47600000000000003,19.2,20.1,27.1,27.0,0.708,0.746,14.0,11.3,30.1,32.5,44.1,43.8,22.2,22.2,9.6,7.5,4.7,6.7,15.7,15.0,23.6,20.9
2000,Boston Celtics,Toronto Raptors,1,37.2,36.3,83.9,83.9,0.444,0.433,5.1,5.2,15.4,14.3,0.331,0.363,32.2,31.2,68.5,69.6,0.469,0.447,19.8,19.3,26.5,25.2,0.745,0.765,13.5,13.4,29.5,29.9,43.0,43.3,21.2,23.7,9.7,8.1,3.5,6.6,15.4,13.9,27.1,24.3
2000,Los Angeles Lakers,Utah Jazz,1,38.3,36.1,83.4,77.8,0.45899999999999996,0.46399999999999997,4.2,4.0,12.8,10.4,0.32899999999999996,0.385,34.1,32.1,70.6,67.4,0.48200000000000004,0.47600000000000003,20.1,20.3,28.9,26.2,0.696,0.773,13.6,11.4,33.4,29.6,47.0,41.0,23.4,24.9,7.5,7.7,6.5,5.4,13.9,14.9,22.5,24.5
2000,Portland Trail Blazers,Vancouver Grizzlies,1,36.8,35.3,78.4,78.5,0.47,0.449,5.0,4.0,13.8,11.0,0.361,0.361,31.9,31.3,64.7,67.6,0.493,0.46299999999999997,18.8,19.4,24.7,25.1,0.76,0.774,11.8,12.3,31.2,28.3,43.0,40.6,23.5,20.7,7.7,7.4,4.8,4.2,15.2,16.8,22.7,22.9
2000,Atlanta Hawks,Washington Wizards,0,36.6,36.7,83.0,81.5,0.441,0.451,3.1,4.1,9.9,10.9,0.317,0.376,33.4,32.6,73.1,70.6,0.45799999999999996,0.462,18.0,19.1,24.2,25.7,0.743,0.743,14.0,13.0,31.3,29.7,45.3,42.7,18.9,21.6,6.1,7.2,5.6,4.7,15.4,16.1,21.0,26.2
2000,Washington Wizards,Boston Celtics,0,36.7,37.2,81.5,83.9,0.451,0.444,4.1,5.1,10.9,15.4,0.376,0.331,32.6,32.2,70.6,68.5,0.462,0.469,19.1,19.8,25.7,26.5,0.743,0.745,13.0,13.5,29.7,29.5,42.7,43.0,21.6,21.2,7.2,9.7,4.7,3.5,16.1,15.4,26.2,27.1
2000,New York Knicks,Chicago Bulls,1,35.3,31.3,77.7,75.4,0.455,0.415,4.3,4.1,11.4,12.6,0.375,0.32899999999999996,31.0,27.1,66.3,62.8,0.46799999999999997,0.43200000000000005,17.2,18.1,22.0,25.5,0.7809999999999999,0.7090000000000001,9.8,12.6,30.7,28.3,40.5,40.9,19.4,20.1,6.3,7.9,4.3,4.7,14.6,19.0,24.2,23.3
2000,New Jersey Nets,Cleveland Cavaliers,0,36.3,36.3,83.9,82.1,0.433,0.442,5.8,4.2,16.8,11.2,0.34700000000000003,0.373,30.5,32.1,67.2,70.9,0.45399999999999996,0.45299999999999996,19.5,20.2,24.9,26.9,0.784,0.75,12.7,12.3,28.2,30.5,40.9,42.8,20.6,23.7,8.8,8.7,4.8,4.4,13.6,17.4,23.3,27.1
2000,Vancouver Grizzlies,Los Angeles Lakers,0,35.3,38.3,78.5,83.4,0.449,0.45899999999999996,4.0,4.2,11.0,12.8,0.361,0.32899999999999996,31.3,34.1,67.6,70.6,0.46299999999999997,0.48200000000000004,19.4,20.1,25.1,28.9,0.774,0.696,12.3,13.6,28.3,33.4,40.6,47.0,20.7,23.4,7.4,7.5,4.2,6.5,16.8,13.9,22.9,22.5
2000,Detroit Pistons,Orlando Magic,0,37.1,38.6,80.9,85.5,0.45899999999999996,0.452,5.4,3.6,14.9,10.6,0.359,0.33799999999999997,31.8,35.1,66.0,74.9,0.48100000000000004,0.46799999999999997,23.9,19.2,30.6,26.1,0.7809999999999999,0.735,11.2,14.0,30.0,31.0,41.2,44.9,20.8,20.8,8.1,9.1,3.3,5.7,15.7,17.6,24.5,24.0
