yearID,home_win,home_team,h_PTS,h_TRB,h_AST,h_STL,h_BLK,h_TOV,h_3P,away_team,a_PTS,a_TRB,a_AST,a_STL,a_BLK,a_TOV,a_3P
2000,0,Orlando Magic,100.1,44.9,20.8,9.1,5.7,17.6,3.6,Charlotte Hornets,98.4,42.9,24.7,8.9,5.9,14.7,4.1
2000,0,Golden State Warriors,95.5,45.6,22.6,8.9,4.3,15.9,4.2,Dallas Mavericks,101.4,41.2,22.1,7.2,5.1,13.7,6.3
2000,0,Phoenix Suns,98.9,43.7,25.6,9.1,5.3,16.7,5.6,Denver Nuggets,99.0,44.7,23.3,6.8,7.5,15.6,5.7
2000,1,Milwaukee Bucks,101.2,41.3,22.6,8.2,4.6,15.0,4.8,Houston Rockets,99.5,43.8,21.6,7.5,5.3,17.4,7.1
2000,1,Seattle SuperSonics,99.1,43.0,22.9,8.0,4.2,14.0,6.7,Los Angeles Clippers,92.0,40.6,18.0,7.0,6.0,16.2,5.2
2000,0,Detroit Pistons,103.5,41.2,20.8,8.1,3.3,15.7,5.4,Miami Heat,94.4,43.2,23.5,7.1,6.4,15.0,5.4
2000,1,Indiana Pacers,101.3,42.1,22.6,6.8,5.1,14.1,7.1,New Jersey Nets,98.0,40.9,20.6,8.8,4.8,13.6,5.8
2000,0,Cleveland Cavaliers,97.0,42.8,23.7,8.7,4.4,17.4,4.2,New York Knicks,92.1,40.5,19.4,6.3,4.3,14.6,4.3
2000,0,Philadelphia 76ers,94.8,44.1,22.2,9.6,4.7,15.7,2.5,San Antonio Spurs,96.2,43.8,22.2,7.5,6.7,15.0,4.0
2000,1,Boston Celtics,99.3,43.0,21.2,9.7,3.5,15.4,5.1,Toronto Raptors,97.2,43.3,23.7,8.1,6.6,13.9,5.2
2000,1,Los Angeles Lakers,100.8,47.0,23.4,7.5,6.5,13.9,4.2,Utah Jazz,96.5,41.0,24.9,7.7,5.4,14.9,4.0
2000,1,Portland Trail Blazers,97.5,43.0,23.5,7.7,4.8,15.2,5.0,Vancouver Grizzlies,93.9,40.6,20.7,7.4,4.2,16.8,4.0
2000,0,Atlanta Hawks,94.3,45.3,18.9,6.1,5.6,15.4,3.1,Washington Wizards,96.6,42.7,21.6,7.2,4.7,16.1,4.1
2000,0,Washington Wizards,96.6,42.7,21.6,7.2,4.7,16.1,4.1,Boston Celtics,99.3,43.0,21.2,9.7,3.5,15.4,5.1
