yearID,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000,Los Angeles Lakers,29.2,67.0,15.0,64,18,8.55,-0.14,8.41,107.3,98.2,9.1,93.3,0.34600000000000003,0.153,0.525,0.484,12.7,30.6,0.24100000000000002,0.44299999999999995,13.4,73.1,0.222,82,19805,3276,7288,0.45,534,1656,0.322,2742,5632,0.48700000000000004,1521,2016,0.754,1056,2635,3691,1953,787,381,1325,1729,8607
2000,Portland Trail Blazers,29.6,59.0,23.0,59,23,6.4,-0.04,6.36,107.9,100.8,7.1,89.9,0.316,0.175,0.546,0.501,14.5,30.3,0.24,0.461,13.8,72.4,0.217,82,19830,3044,6635,0.45899999999999996,439,1223,0.359,2605,5412,0.48100000000000004,1956,2506,0.7809999999999999,917,2458,3375,1707,665,273,1288,2011,8483
2000,San Antonio Spurs,30.9,53.0,29.0,58,24,5.94,-0.02,5.92,105.0,98.6,6.4,90.8,0.34600000000000003,0.138,0.535,0.488,14.3,27.8,0.258,0.451,13.5,73.0,0.188,82,19730,3195,7047,0.45299999999999996,519,1326,0.391,2676,5721,0.46799999999999997,1407,1751,0.804,931,2444,3375,1810,592,416,1124,1770,8316
2000,Phoenix Suns,28.6,53.0,29.0,56,26,5.22,0.02,5.24,104.6,99.0,5.6,94.0,0.28600000000000003,0.184,0.532,0.491,15.2,29.3,0.217,0.45399999999999996,15.7,70.5,0.245,82,19730,3047,6640,0.45899999999999996,583,1487,0.392,2464,5153,0.478,1629,2008,0.8109999999999999,842,2612,3454,1857,559,422,1159,1786,8306
2000,Utah Jazz,31.5,55.0,27.0,54,28,4.46,0.05,4.52,107.3,102.3,5.0,89.6,0.337,0.134,0.54,0.49,14.3,29.5,0.26,0.47700000000000004,15.0,73.2,0.256,82,19855,3174,6827,0.465,394,1069,0.369,2780,5758,0.483,1558,1982,0.7859999999999999,1016,2373,3389,1852,671,381,1230,2020,8300
2000,Indiana Pacers,30.4,56.0,26.0,54,28,4.6,-0.45,4.15,108.5,103.6,4.9,93.1,0.302,0.22399999999999998,0.552,0.503,13.3,24.9,0.245,0.469,12.6,71.5,0.19699999999999998,82,19805,3137,6836,0.45899999999999996,344,1047,0.32899999999999996,2793,5789,0.48200000000000004,1649,2368,0.696,1117,2738,3855,1921,613,534,1143,1841,8267
2000,Sacramento Kings,27.5,44.0,38.0,49,33,2.91,0.12,3.04,105.0,102.1,2.9,99.3,0.27699999999999997,0.22699999999999998,0.526,0.486,13.9,27.7,0.209,0.479,15.1,69.7,0.198,82,19755,3169,7014,0.452,294,870,0.33799999999999997,2875,6144,0.46799999999999997,1574,2142,0.735,1145,2540,3685,1709,743,467,1443,1967,8206
2000,Miami Heat,29.2,52.0,30.0,50,32,3.11,-0.36,2.75,104.5,101.0,3.5,89.7,0.28300000000000003,0.18600000000000003,0.5329999999999999,0.495,14.5,28.2,0.20800000000000002,0.45299999999999996,13.3,72.9,0.22899999999999998,82,19830,3001,6664,0.45,581,1625,0.358,2420,5039,0.48,1573,2145,0.733,1008,2586,3594,1774,613,438,1425,1663,8156
2000,Minnesota Timberwolves,26.6,50.0,32.0,48,34,2.52,0.14,2.67,106.1,103.4,2.7,91.8,0.256,0.10400000000000001,0.525,0.485,12.9,29.4,0.2,0.474,14.0,73.0,0.25,82,19730,3054,6880,0.444,417,1260,0.331,2637,5620,0.469,1621,2175,0.745,1108,2420,3528,1741,795,286,1259,2223,8146
2000,Charlotte Hornets,28.7,49.0,33.0,49,33,2.67,-0.34,2.33,104.3,101.4,2.9,93.9,0.376,0.153,0.53,0.475,13.7,25.7,0.285,0.478,14.6,73.2,0.198,82,19780,3108,6946,0.447,546,1611,0.33899999999999997,2562,5335,0.48,1363,1960,0.695,1042,2483,3525,1878,657,345,1152,1776,8125
